"Column Name","Label"
"DP4_0043CA","Annotation of Number!!ROOMS!!Total housing units!!4 rooms"
"DP4_0044C","Number!!ROOMS!!Total housing units!!5 rooms"
"DP4_0044CA","Annotation of Number!!ROOMS!!Total housing units!!5 rooms"
"DP4_0045C","Number!!ROOMS!!Total housing units!!6 rooms"
"DP4_0045CA","Annotation of Number!!ROOMS!!Total housing units!!6 rooms"
"DP4_0046C","Number!!ROOMS!!Total housing units!!7 rooms"
"DP4_0046CA","Annotation of Number!!ROOMS!!Total housing units!!7 rooms"
"DP4_0047C","Number!!ROOMS!!Total housing units!!8 rooms"
"DP4_0047CA","Annotation of Number!!ROOMS!!Total housing units!!8 rooms"
"DP4_0048C","Number!!ROOMS!!Total housing units!!9 or more rooms"
"DP4_0048CA","Annotation of Number!!ROOMS!!Total housing units!!9 or more rooms"
"DP4_0049C","Number!!ROOMS!!Total housing units!!Median (rooms)"
"DP4_0049CA","Annotation of Number!!ROOMS!!Total housing units!!Median (rooms)"
"DP4_0050C","Number!!BEDROOMS!!Total housing units"
"DP4_0050CA","Annotation of Number!!BEDROOMS!!Total housing units"
"DP4_0051C","Number!!BEDROOMS!!Total housing units!!No bedroom"
"DP4_0051CA","Annotation of Number!!BEDROOMS!!Total housing units!!No bedroom"
"DP4_0052C","Number!!BEDROOMS!!Total housing units!!1 bedroom"
"DP4_0052CA","Annotation of Number!!BEDROOMS!!Total housing units!!1 bedroom"
"DP4_0053C","Number!!BEDROOMS!!Total housing units!!2 bedrooms"
"DP4_0053CA","Annotation of Number!!BEDROOMS!!Total housing units!!2 bedrooms"
"DP4_0054C","Number!!BEDROOMS!!Total housing units!!3 bedrooms"
"DP4_0054CA","Annotation of Number!!BEDROOMS!!Total housing units!!3 bedrooms"
"DP4_0055C","Number!!BEDROOMS!!Total housing units!!4 bedrooms"
"DP4_0055CA","Annotation of Number!!BEDROOMS!!Total housing units!!4 bedrooms"
"DP4_0056C","Number!!BEDROOMS!!Total housing units!!5 or more bedrooms"
"DP4_0056CA","Annotation of Number!!BEDROOMS!!Total housing units!!5 or more bedrooms"
"DP4_0057C","Number!!SOURCE OF WATER!!Total housing units"
"DP4_0057CA","Annotation of Number!!SOURCE OF WATER!!Total housing units"
"DP4_0058C","Number!!SOURCE OF WATER!!Total housing units!!Public system"
"DP4_0058CA","Annotation of Number!!SOURCE OF WATER!!Total housing units!!Public system"
"DP4_0059C","Number!!SOURCE OF WATER!!Total housing units!!Cistern, catchment, tanks, or drums"
"DP4_0059CA","Annotation of Number!!SOURCE OF WATER!!Total housing units!!Cistern, catchment, tanks, or drums"
"DP4_0060C","Number!!SOURCE OF WATER!!Total housing units!!Delivery vendor or water truck"
"DP4_0060CA","Annotation of Number!!SOURCE OF WATER!!Total housing units!!Delivery vendor or water truck"
"DP4_0061C","Number!!SOURCE OF WATER!!Total housing units!!Supermarket or grocery store"
"DP4_0061CA","Annotation of Number!!SOURCE OF WATER!!Total housing units!!Supermarket or grocery store"
"DP4_0062C","Number!!SOURCE OF WATER!!Total housing units!!Some other source"
"DP4_0062CA","Annotation of Number!!SOURCE OF WATER!!Total housing units!!Some other source"
"DP4_0063C","Number!!SEWAGE DISPOSAL!!Total housing units"
"DP4_0063CA","Annotation of Number!!SEWAGE DISPOSAL!!Total housing units"
"DP4_0064C","Number!!SEWAGE DISPOSAL!!Total housing units!!Public sewer"
"DP4_0064CA","Annotation of Number!!SEWAGE DISPOSAL!!Total housing units!!Public sewer"
"DP4_0065C","Number!!SEWAGE DISPOSAL!!Total housing units!!Septic tank or cesspool"
"DP4_0065CA","Annotation of Number!!SEWAGE DISPOSAL!!Total housing units!!Septic tank or cesspool"
"DP4_0066C","Number!!SEWAGE DISPOSAL!!Total housing units!!Other means"
