CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"19000364001",,,,,,193,81,2.38,,,,,,,,,,,,,,,,,,,,,317,133,2.38,,,,,,,,,,,,,,,,,,,
"19000365001",,,,,,83,33,2.51,,,,,,,,,,,,,,,,,,,,,100,40,2.51,2030,,,,,,,,,,,,,,,,,,
"19000366001",341,,341,0,341,,,,,,,,,,,,,,,,,,341,,,341,0,341,,,,,,,,,,,,,,,,,,,,,,
"19000367001",,,,,,47,20,2.38,,,,,,,,,,,,,,,,,,,,,73,31,2.38,,,,,,,,,,,,,,,,,,,
"19000372001",768,,768,0,768,,,,,,,,,,,,,,,,,,1317,,,1317,0,1317,,,,,,,,,,,,,,,,,,,,,,
"19000374001",,,,,,115,49,2.35,,,,,,,,,,,,,,,,,,,,,106,45,2.35,,,,,,,,,,,,,,,,,,,
"19000377001",,,,,,217,92,2.35,,,,,,,,,,,,,,,,,,,,,253,108,2.35,,,,,,,,,,,,,,,,,,,
"19000378001",2439,,2439,0,2439,,,,,,,,,,,,,,,,,,2500,,,2500,0,2500,,,,,,,,,,,,,,,,,,,,,,
"19000380001",,,,,,50,20,2.5,,,,,,,,,,,,,,,,,,,,,50,20,2.5,,,,,,,,,,,,,,,,,,,
"19000381001",823,,823,0,823,,,,,,,,,,,,,,,,,,950,2020,,950,0,950,,,,,,,,,,,,,,,,,,,,,,
"19000382001",837,,837,0,837,,,,,,,,,,,,,,,,,,910,,,910,0,910,,,,,,,,,,,,,,,,,,,,,,
"19000384001",,,,,,41,18,2.32,,,,,,,,,,,,,,,,,,,,,44,19,2.32,,,,,,,,,,,,,,,,,,,
"19000385001",7024,,7024,7024,0,,,,,,,,,,,,,,,,,,7024,,,7024,7024,0,,,,,,,,,,,,,,,,,,,,,,
"19000387001",151,,151,0,151,,,,,,,,,,,,,,,,,,354,,,354,0,354,,,,,,,,,,,,,,,,,,,,,,
"19000388001",808,,808,0,808,,,,,,,,,,,,,,,,,,808,,,808,0,808,,,,,,,,,,,,,,,,,,,,,,
"19000389001",215,,215,0,215,,,,,,,,,,,,,,,,,,305,,,305,0,305,,,,,,,,,,,,,,,,,,,,,,
"19000390001",1470,,1470,0,1470,,,,,,,,,,,,,,,,,,1396,,,1396,0,1396,,,,,,,,,,,,,,,,,,,,,,
"19000393001",222,,222,0,222,,,,,,,,,,,,,,,,,,254,,,254,0,254,,,,,,,,,,,,,,,,,,,,,,
"19000395001",127,,127,0,127,7,3,2.41,,,,,,,,,,,,,,,127,,,127,0,127,7,3,2.41,,,,,,,,,,,,,,,,,,,
"19000396001",845,,845,0,845,,,,,,,,,,,,,,,,,,941,,,941,0,941,,,,,,,,,,,,,,,,,,,,,,
"19000398001",1960,,1960,0,1960,,,,,,,,,,,,,,,,,,3389,,,3389,0,3389,,,,,,,,,,,,,,,,,,,,,,
"19000399001",4690,,4690,0,4690,,,,,,,,,,,,,,,,,,4924,2020,,4924,0,4924,,,,,,,,,,,,,,,,,,,,,,
"19000400001",553,,553,0,553,,,,,,,,,,,,,,,,,,632,,,632,0,632,,,,,,,,,,,,,,,,,,,,,,
"19000404001",,,,,,88,36,2.45,,,,,,,,,,,,,,,,,,,,,275,112,2.45,,,,,,,,,,,,,,,,,,,
"19000406001",11340,,11340,0,11340,,,,,,,,,,,,,,,,,,11340,,,11340,0,11340,,,,,,,,,,,,,,,,,,,,,,
"19000408001",325,,325,0,325,,,,,,,,,,,,,,,,,,325,,,325,0,325,,,,,,,,,,,,,,,,,,,,,,
"19000409001",39427,1042,40469,40469,0,,,,,,,,,,,,,,,,,,51583,,1946,53529,53529,0,,,,,,,,,,,,,,,,,,,,,,
"19000409003",20311,40469,60780,0,60780,,,,,,,,,,,,,,,,,,25000,,53529,78529,0,78529,,,,,,,,,,,,,,,,,,,,,,
"19000412001",341,,341,0,341,,,,,,,,,,,,,,,,,,400,,,400,0,400,,,,,,,,,,,,,,,,,,,,,,
"19000416001",4626,,4626,0,4626,,,,,,,,,,,,,,,,,,4626,,,4626,0,4626,,,,,,,,,,,,,,,,,,,,,,
"19000417001",2212,,2212,0,2212,,,,,,,,,,,,,,,,,,3114,,,3114,0,3114,,,,,,,,,,,,,,,,,,,,,,
"19000418001",1215,,1215,0,1215,,,,,,,,,,,,,,,,,,2054,,,2054,0,2054,,,,,,,,,,,,,,,,,,,,,,
"19000419001",,,,,,245,103,2.38,,,,,,,,,,,,,,,,,,,,,253,106,2.38,,,,,,,,,,,,,,,,,,,
"19000420001",,,,,,68,29,2.31,,,,,,,,,,,,,,,,,,,,,118,51,2.31,,,,,,,,,,,,,,,,,,,
"19000421001",2293,,2293,0,2293,,,,,,,,,,,,,,,,,,2500,,,2500,0,2500,,,,,,,,,,,,,,,,,,,,,,
"19000424001",314,,314,0,314,,,,,,,,,,,,,,,,,,338,,,338,0,338,,,,,,,,,,,,,,,,,,,,,,
"19000425001",246,,246,246,0,,,,,,,,,,,,,,,,,,370,,,370,370,0,,,,,,,,,,,,,,,,,,,,,,
"19000426001",606,,606,0,606,,,,,,,,,,,,,,,,,,934,,,934,0,934,,,,,,,,,,,,,,,,,,,,,,
"19000427001",598,,598,0,598,,,,,,,,,,,,,,,,,,300,,,300,0,300,,,,,,,,,,,,,,,,,,,,,,
"19000428001",,,,,,1065,465,2.29,,,,,,,,,,,,,,,,,,,,,2066,902,2.29,2020,,,,,,,,,,,,,,,,,,
"29001009001",38436,1916,40352,0,40352,,,,,,,11400,,11400,0,11400,,,,,,,33064,,5361,38425,0,38425,,,,,,,,,16780,,,16780,0,16780,,,,,,,,
"29001010002",13544,623,14167,0,14167,,,,,,,4795,,4795,0,4795,,,,,,,14419,,709,15128,0,15128,,,,,,,,,8500,,,8500,0,8500,,,,,,,,
"29001011003",13627,58277,71904,0,71904,2472,989,2.5,,,,3000,4550,7550,0,7550,,,,,,,73021,,62744,135765,0,135765,2083,833,2.5,,,,,,4000,,8050,12050,0,12050,,,,,,,,
"29001011005",14246,,14246,0,14246,532,214,2.49,,,,,,,,,,,,,,,14439,,,14439,0,14439,45,18,2.49,,,,,,,,,,,,,,,,,,,
"29001011008",5800,,5800,0,5800,,,,,,,,,,,,,,,,,,7700,,996,8696,0,8696,,,,,,,,,500,,,500,0,500,,,,,,,,
"29001011020",600,,600,0,600,,,,,,,,,,,,,,,,,,996,,,996,996,0,,,,,,,,,,,,,,,,,,,,,,
"29001012001",16704,,16704,0,16704,230,100,2.29,,,,,,,,,,,,,,,16826,2026,,16826,0,16826,,,2.29,,,,,,,,,,,,,,,,,,,
"29001014001",28146,,28146,28146,0,,,,,,,,,,,,,,,,,,30100,,,30100,30100,0,,,,,,,,,,,,,,,,,,,,,,
"29001015001",12665,,12665,0,12665,,,,,,,,,,,,,,,,,,12665,,,12665,0,12665,,,,,,,,,6,,,6,0,6,,,,,,,,
"29001016001",10943,77,11020,0,11020,,,,,,,2500,,2500,0,2500,,,,,,,10943,,77,11020,0,11020,,,,,,,,,3000,,,3000,0,3000,,,,,,,,
"29001018002",16100,,16100,0,16100,,,,,,,1557,,1557,0,1557,,,,,,,20000,,,20000,0,20000,,,,,,,,,15000,,,15000,0,15000,,,,,,,,
"19000757001",765,,765,0,765,,,,,,,,,,,,,,,,,,1443,,,1443,0,1443,,,,,,,,,,,,,,,,,,,,,,
"19000758001",145,,145,0,145,,,,,,,,,,,,,,,,,,263,,,263,0,263,,,,,,,,,,,,,,,,,,,,,,
"19000759001",361,,361,0,361,,,,,,,,,,,,,,,,,,361,,,361,0,361,,,,,,,,,,,,,,,,,,,,,,
"19000761001",2492,,2492,0,2492,,,,,,,,,,,,,,,,,,3326,,,3326,0,3326,,,,,,,,,,,,,,,,,,,,,,
"19000762001",,,,,,288,115,2.51,,,,,,,,,,,,,,,,,,,,,818,326,2.51,,,,,,,,,,,,,,,,,,,
"19000763001",1063,,1063,0,1063,,,,,,,,,,,,,,,,,,1605,,,1605,0,1605,,,,,,,,,,,,,,,,,,,,,,
"19000764001",,,,,,112,45,2.48,,,,,,,,,,,,,,,,,,,,,256,103,2.48,,,,,,,,,,,,,,,,,,,
"19000769001",,,,,,111,45,2.47,,,,,,,,,,,,,,,,,,,,,111,45,2.47,,,,,,,,,,,,,,,,,,,
"19000772001",367,,367,0,367,,,,,,,,,,,,,,,,,,435,,,435,0,435,,,,,,,,,,,,,,,,,,,,,,
"19000773001",1353,,1353,0,1353,,,,,,,,,,,,,,,,,,2643,,,2643,0,2643,,,,,,,,,,,,,,,,,,,,,,
"19000775001",,,,,,92,39,2.36,,,,,,,,,,,,,,,,,,,,,81,34,2.36,,,,,,,,,,,,,,,,,,,
"19000776001",768,,768,0,768,,,,,,,,,,,,,,,,,,1049,,,1049,0,1049,,,,,,,,,,,,,,,,,,,,,,
"19000779001",155,,155,0,155,,,,,,,,,,,,,,,,,,299,,,299,0,299,,,,,,,,,,,,,,,,,,,,,,
"19000780001",4227,,4227,4227,0,,,,,,,,,,,,,,,,,,8757,,,8757,8757,0,,,,,,,,,,,,,,,,,,,,,,
"19000781001",701,,701,0,701,,,,,,,,,,,,,,,,,,564,,,564,0,564,,,,,,,,,,,,,,,,,,,,,,
"19000782001",190,,190,0,190,,,,,,,,,,,,,,,,,,250,,,250,0,250,,,,,,,,,,,,,,,,,,,,,,
"19000783001",,,,,,97,42,2.29,,,,,,,,,,,,,,,,,,,,,100,44,2.29,,,,,,,,,,,,,,,,,,,
"19000784001",,,,,,116,48,2.4,,,,,,,,,,,,,,,,,,,,,116,48,2.4,,,,,,,,,,,,,,,,,,,
"19000787001",,,,,,315,132,2.39,,,,,,,,,,,,,,,,,,,,,315,132,2.39,,,,,,,,,,,,,,,,,,,
"19000789001",1298,,1298,0,1298,,,,,,,,,,,,,,,,,,1832,,,1832,0,1832,,,,,,,,,,,,,,,,,,,,,,
"19000790001",1163,,1163,0,1163,,,,,,,,,,,,,,,,,,1300,2015,,1300,0,1300,,,,,,,,,,,,,,,,,,,,,,
"19000791001",5572,,5572,0,5572,,,,,,,,,,,,,,,,,,5600,2023,,5600,0,5600,,,,,,,,,,,,,,,,,,,,,,
"19000794001",1253,,1253,0,1253,,,,,,,,,,,,,,,,,,1365,,,1365,0,1365,,,,,,,,,,,,,,,,,,,,,,
"19000795002",2111,,2111,0,2111,,,,,,,,,,,,,,,,,,2151,,,2151,0,2151,,,,,,,,,,,,,,,,,,,,,,
"19000796001",,,,,,252,97,2.6,,,,,,,,,,,,,,,,,,,,,385,148,2.6,,,,,,,,,,,,,,,,,,,
"19000799001",720,,720,0,720,,,,,,,,,,,,,,,,,,964,,,964,0,964,,,,,,,,,,,,,,,,,,,,,,
"19000802001",234,,234,0,234,,,,,,,,,,,,,,,,,,338,,,338,0,338,,,,,,,,,,,,,,,,,,,,,,
"19000803001",205,,205,0,205,,,,,,,,,,,,,,,,,,240,,,240,0,240,,,,,,,,,,,,,,,,,,,,,,
"19000804001",1177,,1177,0,1177,,,,,,,,,,,,,,,,,,2135,,,2135,0,2135,,,,,,,,,,,,,,,,,,,,,,
"19000805001",,,,,,113,50,2.25,,,,,,,,,,,,,,,,,,,,,113,50,2.25,,,,,,,,,,,,,,,,,,,
"19000806001",210,,210,0,210,230,94,2.45,,,,,,,,,,,,,,,230,,,230,0,230,,,2.45,,,,,,,,,,,,,,,,,,,
"19000809001",3871,,3871,3871,0,,,,,,,,,,,,,,,,,,4678,,,4678,4678,0,,,,,,,,,,,,,,,,,,,,,,
"19000811001",167,,167,0,167,,,,,,,,,,,,,,,,,,373,,,373,0,373,,,,,,,,,,,,,,,,,,,,,,
"19000812001",,,,,,86,32,2.65,,,,,,,,,,,,,,,,,,,,,297,112,2.65,,,,,,,,,,,,,,,,,,,
"19000813001",1068,,1068,0,1068,,,,,,,,,,,,,,,,,,1420,,,1420,0,1420,,,,,,,,,,,,,,,,,,,,,,
"19000814001",469,,469,0,469,,,,,,,,,,,,,,,,,,760,,,760,0,760,,,,,,,,,,,,,,,,,,,,,,
"19000815001",488,,488,0,488,,,,,,,,,,,,,,,,,,524,,,524,0,524,,,,,,,,,,,,,,,,,,,,,,
"19000819001",1349,,1349,0,1349,,,,,,,,,,,,,,,,,,2006,,,2006,0,2006,,,,,,,,,,,,,,,,,,,,,,
"19000820001",335,,335,0,335,,,,,,,,,,,,,,,,,,470,,,470,0,470,,,,,,,,,,,,,,,,,,,,,,
"19000822001",187,,187,0,187,,,,,,,,,,,,,,,,,,347,,,347,0,347,,,,,,,,,,,,,,,,,,,,,,
"19000823001",10674,1841,12515,0,12515,,,,,,,,,,,,,,,,,,11000,,1841,12841,0,12841,,,,,,,,,,,,,,,,,,,,,,
"19000826001",715,,715,0,715,,,,,,,,,,,,,,,,,,720,,,720,0,720,,,,,,,,,,,,,,,,,,,,,,
"19000827001",1086,1279,2365,0,2365,,,,,,,,,,,,,,,,,,397,,1500,1897,0,1897,,,,,,,,,,,,,,,,,,,,,,
"19000827002",1279,,1279,1279,0,,,,,,,,,,,,,,,,,,1500,,,1500,1500,0,,,,,,,,,,,,,,,,,,,,,,
"19000828001",,,,,,67,26,2.61,,,,,,,,,,,,,,,,,,,,,59,23,2.61,,,,,,,,,,,,,,,,,,,
"19000829001",1831,,1831,0,1831,,,,,,,,,,,,,,,,,,2960,2028,,2960,0,2960,,,,,,,,,,,,,,,,,,,,,,
"19000830001",841,,841,0,841,,,,,,,,,,,,,,,,,,846,,,846,0,846,,,,,,,,,,,,,,,,,,,,,,
"19000832001",128,,128,128,0,,,,,,,,,,,,,,,,,,200,,,200,200,0,,,,,,,,,,,,,,,,,,,,,,
"19000833001",707,,707,0,707,,,,,,,,,,,,,,,,,,750,,,750,0,750,,,,,,,,,,,,,,,,,,,,,,
"19000834001",,,,,,164,76,2.16,,,,,,,,,,,,,,,,,,,,,180,83,2.16,,,,,,,,,,,,,,,,,,,
"19000836001",634,,634,0,634,,,,,,,,,,,,,,,,,,880,,,880,0,880,,,,,,,,,,,,,,,,,,,,,,
"19000837001",900,,900,0,900,,,,,,,,,,,,,,,,,,1100,2028,,1100,0,1100,,,,,,,,,,,,,,,,,,,,,,
"19000838001",957,,957,0,957,,,,,,,,,,,,,,,,,,1002,,,1002,0,1002,,,,,,,,,,,,,,,,,,,,,,
"19000841001",,,,,,78,31,2.49,,,,,,,,,,,,,,,,,,,,,119,48,2.49,,,,,,,,,,,,,,,,,,,
"19000843001",,,,,,56,23,2.43,,,,,,,,,,,,,,,,,,,,,100,41,2.43,,,,,,,,,,,,,,,,,,,
"19000844001",498,,498,0,498,,,,,,,,,,,,,,,,,,564,,,564,0,564,,,,,,,,,,,,,,,,,,,,,,
"19000845001",174,,174,0,174,,,,,,,,,,,,,,,,,,290,,,290,0,290,,,,,,,,,,,,,,,,,,,,,,
"19000846001",,,,,,66,30,2.2,,,,,,,,,,,,,,,,,,,,,66,30,2.2,,,,,,,,,,,,,,,,,,,
"19000848001",,,,,,239,98,2.45,,,,,,,,,,,,,,,,,,,,,304,124,2.45,,,,,,,,,,,,,,,,,,,
"19000850001",,,,,,179,76,2.37,,,,,,,,,,,,,,,,,,,,,244,103,2.37,,,,,,,,,,,,,,,,,,,
"19000851002",1617,,1617,0,1617,,,,,,,,,,,,,,,,,,1617,,,1617,0,1617,,,,,,,,,,,,,,,,,,,,,,
"13000715003",14480,,14480,0,14480,,,,,,,,,,,,,,,,,,15114,,,15114,0,15114,,,,,,,,,,,,,,,,,,,,,,
"13000716001",5137,,5137,5137,0,,,,,,,,,,,,,,,,,,6732,,,6732,6732,0,,,,,,,,,,,,,,,,,,,,,,
"13000716002",,5137,5137,0,5137,,,,,,,100,,100,0,100,,,,,,,,,6732,6732,0,6732,,,,,,,,,100,,,100,0,100,,,,,,,,
"13000725001",1758,,1758,0,1758,,,,,,,,,,,,,,,,,,2521,,,2521,0,2521,,,,,,,,,,,,,,,,,,,,,,
"18000403001",1402,,1402,0,1402,,,,,,,,,,,,,,,,,,1402,,,1402,0,1402,,,,,,,,,,,,,,,,,,,,,,
"18000406001",2274,,2274,0,2274,,,,,,,,,,,,,,,,,,2274,,,2274,0,2274,,,,,,,,,,,,,,,,,,,,,,
"18000451001",1691,,1691,0,1691,,,,,,,,,,,,,,,,,,1691,,,1691,0,1691,,,,,,,,,,,,,,,,,,,,,,
"18000453001",1752,,1752,0,1752,,,,,,,2000,,2000,0,2000,,,,,,,1986,,,1986,0,1986,,,,,,,,,2500,,,2500,0,2500,,,,,,,,
"18000458001",489,,489,0,489,,,,,,,,,,,,,,,,,,489,,,489,0,489,,,,,,,,,,,,,,,,,,,,,,
"18000505001",1010,,1010,0,1010,,,,,,,,,,,,,,,,,,1200,,,1200,0,1200,,,,,,,,,,,,,,,,,,,,,,
"18000507001",3350,,3350,3350,0,,,,,,,,,,,,,,,,,,3350,,,3350,3350,0,,,,,,,,,,,,,,,,,,,,,,
"18000508001",4785,,4785,0,4785,,,,,,,,,,,,,,,,,,5108,,,5108,0,5108,,,,,,,,,,,,,,,,,,,,,,
"18000509001",9700,,9700,9700,0,,,,,,,,,,,,,,,,,,10721,,,10721,0,10721,,,,,,,,,,,,,,,,,,,,,,
"18000604001",35063,1000,36063,0,36063,,,,,,,,,,,,,,,,,,42658,,1489,44147,0,44147,,,,,,,,,,,,,,,,,,,,,,
"18000604002",1000,,1000,1000,0,,,,,,,,,,,,,,,,,,1489,,,1489,1489,0,,,,,,,,,,,,,,,,,,,,,,
"18000605001",1120,,1120,1120,0,,,,,,,,,,,,,,,,,,1120,,,1120,1120,0,,,,,,,,,,,,,,,,,,,,,,
"18000701001",6260,430,6690,0,6690,,,,,,,,,,,,,,,,,,6631,2026,430,7061,0,7061,,,,,,,,,,,,,,,,,,,,,,
"18000702001",71131,14294,85425,0,85425,,,,,,,,,,,,,,,,,,73066,,5292,78358,0,78358,,,,,,,,,,,,,,,,,,,,,,
"18000703001",2700,,2700,2700,0,,,,,,,,,,,,,,,,,,2800,,,2800,2800,0,,,,,,,,,,,,,,,,,,,,,,
"18000706001",950,,950,950,0,,,,,,,,,,,,,,,,,,1252,,,1252,1252,0,,,,,,,,,50,,,50,50,0,,,,,,,,
"18000707001",1900,,1900,0,1900,,,,,,,,,,,,,,,,,,1900,,,1900,0,1900,,,,,,,,,,,,,,,,,,,,,,
"18000710001",1201,,1201,0,1201,,,,,,,,,,,,,,,,,,1209,,,1209,0,1209,,,,,,,,,,,,,,,,,,,,,,
"18000711001",1894,,1894,1894,0,,,,,,,,,,,,,,,,,,2492,,,2492,2492,0,,,,,,,,,,,,,,,,,,,,,,
"18000715001",,,,,,578,240,2.41,,,,,,,,,,,,,,,,,,,,,578,240,2.41,,,,,,,,,,,,,,,,,,,
"18000804001",2021,,2021,0,2021,,,,,,,,,,,,,,,,,,2021,,,2021,0,2021,,,,,,,,,,,,,,,,,,,,,,
"18000806001",2588,,2588,0,2588,,,,,,,,,,,,,,,,,,3000,2032,,3000,0,3000,,,,,,,,,,,,,,,,,,,,,,
"18000807001",1322,,1322,0,1322,,,,,,,,,,,,,,,,,,1500,,,1500,0,1500,,,,,,,,,,,,,,,,,,,,,,
"18000828001",916,,916,0,916,,,,,,,,,,,,,,,,,,916,,,916,0,916,,,,,,,,,,,,,,,,,,,,,,
"18000829001",1796,,1796,0,1796,,,,,,,,,,,,,,,,,,1796,,,1796,0,1796,,,,,,,,,,,,,,,,,,,,,,
"18000851001",55933,8408,64341,0,64341,,,,,,,2000,,2000,0,2000,,,,,,,62635,,8408,71043,0,71043,,,,,,,,,2500,,,2500,0,2500,,,,,,,,
"18000878001",976,,976,0,976,,,,,,,,,,,,,,,,,,2635,2020,,2635,0,2635,,,,,,,,,,,,,,,,,,,,,,
"18000880001",22479,,22479,0,22479,,,,,,,,,,,,,,,,,,39573,2026,,39573,0,39573,,,,,,,,,,,,,,,,,,,,,,
"18000902001",635,,635,0,635,,,,,,,,,,,,,,,,,,700,,,700,0,700,,,,,,,,,,,,,,,,,,,,,,
"18000903002",5000,12751,17751,0,17751,,,,,,,,190,190,0,190,,,,,,,5000,,13314,18314,0,18314,,,,,,,,,,,380,380,0,380,,,,,,,,
"18000904001",8714,,8714,8714,0,,,,,,,,,,,,,,,,,,8714,,,8714,8714,0,,,,,,,,,,,,,,,,,,,,,,
"18000905001",4037,,4037,4037,0,,,,,,,190,,190,190,0,,,,,,,4600,2030,,4600,4600,0,,,,,,,,,380,2030,,380,380,0,,,,,,,,
"18001002001",6050,,6050,0,6050,,,,,,,490,,490,0,490,,,,,,,6540,,,6540,0,6540,,,,,,,,,,,,,,,,,,,,,,
"18001011001",5208,,5208,0,5208,,,,,,,,,,,,,,,,,,7377,,,7377,0,7377,,,,,,,,,,,,,,,,,,,,,,
"18001052001",40000,4000,44000,0,44000,,,,,,,,,,,,,,,,,,40000,,4000,44000,0,44000,,,,,,,,,,,,,,,,,,,,,,
"18001055001",,,,,,,,,,,,3154,,3154,0,3154,,,,,,,,,,,,,,,,,,,,,3154,,,3154,0,3154,,,,,,,,
"18001492001",1675,,1675,0,1675,,,,,,,,,,,,,,,,,,1800,,,1800,0,1800,,,,,,,,,,,,,,,,,,,,,,
"18001493001",3700,,3700,0,3700,,,,,,,,,,,,,,,,,,3700,,,3700,0,3700,,,,,,,,,,,,,,,,,,,,,,
"18001691001",6383,,6383,0,6383,,,,,,,,,,,,,,,,,,6383,,,6383,0,6383,,,,,,,,,,,,,,,,,,,,,,
"18001692001",448,,448,448,0,,,,,,,,,,,,,,,,,,448,,,448,448,0,,,,,,,,,,,,,,,,,,,,,,
"18001733001",946,,946,0,946,,,,,,,,,,,,,,,,,,950,,,950,0,950,,,,,,,,,,,,,,,,,,,,,,
"18001776001",766,,766,0,766,,,,,,,1275,,1275,0,1275,,,,,,,766,,,766,0,766,,,,,,,,,1275,,,1275,0,1275,,,,,,,,
"17000210001",66659,,66659,66659,0,,,,,,,,,,,,,,,,,,65523,2030,,65523,65523,0,,,,,,,,,,,,,,,,,,,,,,
"17000211001",11189,,11189,11189,0,,,,,,,,,,,,,,,,,,12258,,,12258,12258,0,,,,,,,,,,,,,,,,,,,,,,
"17000213001",11984,,11984,11984,0,,,,,,,,,,,,,,,,,,12163,,,12163,12163,0,,,,,,,,,,,,,,,,,,,,,,
"17000214001",49495,,49495,49495,0,,,,,,,,,,,,,,,,,,53600,,,53600,53600,0,,,,,,,,,,,,,,,,,,,,,,
"17000215001",1500,,1500,1500,0,,,,,,,,,,,,,,,,,,4656,,,4656,4656,0,,,,,,,,,,,,,,,,,,,,,,
"17000217001",2520,,2520,2520,0,,,,,,,,,,,,,,,,,,2137,,,2137,2137,0,,,,,,,,,,,,,,,,,,,,,,
"17000218001",13491,,13491,13491,0,,,,,,,,,,,,,,,,,,11491,,,11491,11491,0,,,,,,,,,,,,,,,,,,,,,,
"17000219001",2116,,2116,2116,0,,,,,,,,,,,,,,,,,,2280,,,2280,2280,0,,,,,,,,,,,,,,,,,,,,,,
"17000220001",32575,,32575,32575,0,,,,,,,,,,,,,,,,,,32575,,,32575,32575,0,,,,,,,,,,,,,,,,,,,,,,
"17000221001",12861,,12861,12861,0,,,,,,,,,,,,,,,,,,12900,,,12900,12900,0,,,,,,,,,,,,,,,,,,,,,,
"17000224003",5300,2060,7360,0,7360,,,,,,,,,,,,,,,,,,8625,,,8625,0,8625,,,,,,,,,,,,,,,,,,,,,,
"17000225001",2887,,2887,0,2887,,,,,,,,,,,,,,,,,,3500,2020,,3500,0,3500,,,,,,,,,,,,,,,,,,,,,,
"17000227001",4307,,4307,0,4307,,,,,,,,,,,,,,,,,,4699,,,4699,0,4699,,,,,,,,,,,,,,,,,,,,,,
"17000229001",7435,,7435,7435,0,,,,,,,,,,,,,,,,,,7435,,,7435,7435,0,,,,,,,,,,,,,,,,,,,,,,
"17000230001",5345,,5345,5345,0,,,,,,,,,,,,,,,,,,5345,2030,,5345,5345,0,,,,,,,,,,,,,,,,,,,,,,
"17000231001",10715,22424,33139,33139,0,,,,,,,,,,,,,,,,,,10715,,22777,33492,33492,0,,,,,,,,,,,,,,,,,,,,,,
"17000233001",2527,,2527,0,2527,,,,,,,,,,,,,,,,,,4000,2020,,4000,0,4000,,,,,,,,,,,,,,,,,,,,,,
"17000234001",,52300,52300,0,52300,,,,,,,,,,,,,,,,,,,,69806,69806,0,69806,,,,,,,,,,,,,,,,,,,,,,
"17000235001",14253,,14253,0,14253,,,,,,,,,,,,,,,,,,14253,,,14253,0,14253,,,,,,,,,,,,,,,,,,,,,,
"17000237002",1269,,1269,0,1269,,,,,,,,,,,,,,,,,,4300,2028,,4300,4300,0,,,,,,,,,,,,,,,,,,,,,,
"17000237003",2436,,2436,0,2436,,,,,,,,,,,,,,,,,,3870,,,3870,3870,0,,,,,,,,,,,,,,,,,,,,,,
"17000240001",8791,,8791,8791,0,,,,,,,,,,,,,,,,,,8791,,,8791,8791,0,,,,,,,,,,,,,,,,,,,,,,
"47000800001",10500,,10500,0,10500,325,127,2.56,,,,,,,,,,,,,,,12130,2010,,12130,0,12130,325,127,2.56,2009,,,,,,,,,,,,,,,,,,
"47000820001",4175,,4175,0,4175,246,100,2.46,,,,,,,,,,,,,,,4700,2018,,4700,0,4700,160,65,2.46,2018,,,,,,,,,,,,,,,,,,
"47000845001",10000,251,10251,0,10251,545,225,2.42,,,,,,,,,,,,,,,15000,2016,251,15251,0,15251,424,175,2.42,2016,,,,,,,,,,,,,,,,,,
"47000860001",,,,,,351,142,2.47,,,,,,,,,,,,,,,,,,,,,385,156,2.47,2015,,,,,,,,,,,,,,,,,,
