CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"42003077001",679,,679,0,679,,,,,,,,,,,,,,,,,,679,,,679,0,679,,,,,,,,,,,,,,,,,,,,,,
"42003078001",620,,620,0,620,,,,,,,,,,,,,,,,,,620,,,620,0,620,,,,,,,,,,,,,,,,,,,,,,
"42003080001",895,,895,895,0,,,,,,,,,,,,,,,,,,895,,,895,895,0,,,,,,,,,,,,,,,,,,,,,,
"42003080002",797,,797,797,0,,,,,,,,,,,,,,,,,,797,,,797,797,0,,,,,,,,,,,,,,,,,,,,,,
"42003080003",2186,,2186,2186,0,,,,,,,,,,,,,,,,,,2186,,,2186,2186,0,,,,,,,,,,,,,,,,,,,,,,
"42003081002",21430,16855,38285,0,38285,,,,,,,,,,,,,,,,,,44285,,16855,61140,0,61140,,,,,,,,,,,,,,,,,,,,,,
"42003082001",18254,4205,22459,0,22459,,,,,,,,,,,,,,,,,,18254,,4637,22891,0,22891,,,,,,,,,,,,,,,,,,,,,,
"42003083001",1521,,1521,1521,0,,,,,,,,,,,,,,,,,,1521,,,1521,1521,0,,,,,,,,,,,,,,,,,,,,,,
"42003084001",2353,884,3237,0,3237,,,,,,,,,,,,,,,,,,3915,,1484,5399,0,5399,,,,,,,,,,,,,,,,,,,,,,
"42003085001",873,,873,0,873,,,,,,,,,,,,,,,,,,873,,,873,0,873,,,,,,,,,,,,,,,,,,,,,,
"42003087001",2212,,2212,0,2212,,,,,,,,,,,,,,,,,,2837,,,2837,624,2213,,,,,,,,,,,,,,,,,,,,,,
"42003091001",2000,310,2310,0,2310,,,,,,,,,,,,,,,,,,2000,,310,2310,0,2310,,,,,,,,,,,,,,,,,,,,,,
"06005155001",19542,,19542,19542,0,2603,859,3.03,,,,,,,,,,,,,,,27633,,,27633,27633,0,2603,859,3.03,,,,,,,,,,,,,,,,,,,
"06005159001",3250,,3250,0,3250,109,46,2.36,,,,300,,300,0,300,99,42,2.36,,,,4256,2022,,4256,0,4256,109,46,2.36,,,,,,500,,,500,0,500,,,,,,,,
"06005161001",2246,,2246,0,2246,1356,572,2.37,,,,,,,,,,,,,,,6178,2022,,6178,0,6178,1356,572,2.37,,,,,,,,,,,,,,,,,,,
