,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
2837,TX,48,Lavaca,Lavaca County,285,1000.0,0.0,True,,,Rural Area,
2838,TX,48,Ector,Ector County,135,92383.0,2000.0,True,36220.0,"Odessa, TX",Metropolitan Statistical Area,Central
2839,TX,48,Real,Real County,385,0.0,0.0,False,,,Rural Area,
2840,TX,48,Bowie,Bowie County,37,87670.0,0.0,True,45500.0,"Texarkana, TX-AR",Metropolitan Statistical Area,Central
2841,TX,48,Culberson,Culberson County,109,0.0,0.0,False,,,Rural Area,
2842,TX,48,Colorado,Colorado County,89,3450.0,0.0,True,,,Rural Area,
2843,TX,48,Comal,Comal County,91,32200.0,0.0,True,41700.0,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,Central
2844,TX,48,Duval,Duval County,131,9786.0,0.0,True,,,Rural Area,
2845,TX,48,Bailey,Bailey County,17,0.0,0.0,False,,,Rural Area,
2846,TX,48,Lamb,Lamb County,279,6500.0,0.0,True,,,Rural Area,
2847,TX,48,Dawson,Dawson County,115,0.0,0.0,False,29500.0,"Lamesa, TX",Micropolitan Statistical Area,Central
2848,TX,48,Callahan,Callahan County,59,5720.0,0.0,True,10180.0,"Abilene, TX",Metropolitan Statistical Area,Outlying
2849,TX,48,Leon,Leon County,289,2828.0,0.0,True,,,Rural Area,
2850,TX,48,Runnels,Runnels County,399,6860.0,0.0,True,,,Rural Area,
2851,TX,48,Liberty,Liberty County,291,31496.0,0.0,True,26420.0,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Outlying
2852,TX,48,Brown,Brown County,49,20680.0,0.0,True,15220.0,"Brownwood, TX",Micropolitan Statistical Area,Central
2853,TX,48,Zapata,Zapata County,505,8820.0,0.0,True,49820.0,"Zapata, TX",Micropolitan Statistical Area,Central
2854,TX,48,Rains,Rains County,379,880.0,0.0,True,,,Rural Area,
2855,TX,48,Dallam,Dallam County,111,7000.0,0.0,True,,,Rural Area,
2856,TX,48,Ellis,Ellis County,139,25760.0,0.0,True,19100.0,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Central
2857,TX,48,Burnet,Burnet County,53,11639.0,0.0,True,,,Rural Area,
2858,TX,48,Hays,Hays County,209,54730.0,0.0,True,12420.0,"Austin-Round Rock, TX",Metropolitan Statistical Area,Central
2859,TX,48,Somervell,Somervell County,425,2760.0,0.0,True,19100.0,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Outlying
2860,TX,48,Calhoun,Calhoun County,57,13000.0,0.0,True,38920.0,"Port Lavaca, TX",Micropolitan Statistical Area,Central
2861,TX,48,Caldwell,Caldwell County,55,6950.0,0.0,True,12420.0,"Austin-Round Rock, TX",Metropolitan Statistical Area,Outlying
2862,TX,48,Chambers,Chambers County,71,9107.0,0.0,True,26420.0,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,Central
2863,TX,48,Hudspeth,Hudspeth County,229,1986.0,0.0,True,21340.0,"El Paso, TX",Metropolitan Statistical Area,Outlying
2864,TX,48,Cochran,Cochran County,79,420.0,0.0,True,,,Rural Area,
2865,TX,48,Eastland,Eastland County,133,7273.0,0.0,True,,,Rural Area,
2866,TX,48,Foard,Foard County,155,1217.0,0.0,True,,,Rural Area,
2867,TX,48,Glasscock,Glasscock County,173,0.0,0.0,False,13700.0,"Big Spring, TX",Micropolitan Statistical Area,Outlying
2868,TX,48,Hansford,Hansford County,195,0.0,0.0,False,,,Rural Area,
2869,TX,48,Victoria,Victoria County,469,90650.0,0.0,True,47020.0,"Victoria, TX",Metropolitan Statistical Area,Central
2870,TX,48,El Paso,El Paso County,141,628383.0,0.0,True,21340.0,"El Paso, TX",Metropolitan Statistical Area,Central
2871,TX,48,Cass,Cass County,67,6800.0,0.0,True,,,Rural Area,
2872,TX,48,Coryell,Coryell County,99,8170.0,0.0,True,28660.0,"Killeen-Temple, TX",Metropolitan Statistical Area,Central
2873,TX,48,Loving,Loving County,301,0.0,0.0,False,,,Rural Area,
2874,TX,48,Henderson,Henderson County,213,5245.0,0.0,True,11980.0,"Athens, TX",Micropolitan Statistical Area,Central
2875,TX,48,Nolan,Nolan County,353,1300.0,0.0,True,45020.0,"Sweetwater, TX",Micropolitan Statistical Area,Central
2876,TX,48,Terry,Terry County,445,0.0,0.0,False,,,Rural Area,
2877,TX,48,Potter,Potter County,375,103217.0,600.0,True,11100.0,"Amarillo, TX",Metropolitan Statistical Area,Central
2878,TX,48,Llano,Llano County,299,0.0,0.0,False,,,Rural Area,
2879,TX,48,Armstrong,Armstrong County,11,0.0,0.0,False,11100.0,"Amarillo, TX",Metropolitan Statistical Area,Outlying
2880,TX,48,Kenedy,Kenedy County,261,0.0,0.0,False,28780.0,"Kingsville, TX",Micropolitan Statistical Area,Outlying
2881,TX,48,Robertson,Robertson County,395,1300.0,0.0,True,17780.0,"College Station-Bryan, TX",Metropolitan Statistical Area,Outlying
2882,TX,48,Jefferson,Jefferson County,245,123740.0,0.0,True,13140.0,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Central
2883,TX,48,Mitchell,Mitchell County,335,4860.0,0.0,True,,,Rural Area,
2884,TX,48,Johnson,Johnson County,251,62639.0,0.0,True,19100.0,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Central
2885,TX,48,Hopkins,Hopkins County,223,0.0,0.0,False,44860.0,"Sulphur Springs, TX",Micropolitan Statistical Area,Central
2886,TX,48,Crockett,Crockett County,105,0.0,0.0,False,,,Rural Area,
2887,TX,48,Webb,Webb County,479,138737.0,0.0,True,29700.0,"Laredo, TX",Metropolitan Statistical Area,Central
2888,TX,48,Grayson,Grayson County,181,46840.0,0.0,True,43300.0,"Sherman-Denison, TX",Metropolitan Statistical Area,Central
2889,TX,48,Williamson,Williamson County,491,315370.0,0.0,True,12420.0,"Austin-Round Rock, TX",Metropolitan Statistical Area,Central
2890,TX,48,Lee,Lee County,287,840.0,0.0,True,,,Rural Area,
2891,TX,48,Jeff Davis,Jeff Davis County,243,0.0,0.0,False,,,Rural Area,
2892,TX,48,Borden,Borden County,33,0.0,0.0,False,,,Rural Area,
2893,TX,48,Wood,Wood County,499,12207.0,0.0,True,,,Rural Area,
2894,TX,48,Bandera,Bandera County,19,1900.0,0.0,True,41700.0,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,Outlying
2895,TX,48,Orange,Orange County,361,36000.0,0.0,True,13140.0,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Central
2896,TX,48,Swisher,Swisher County,437,0.0,0.0,False,,,Rural Area,
