,"County, State",Percent of occupied housing units lacking complete plumbing facilities
0,"Yukon-Koyukuk Census Area, Alaska",36.1
1,"Bethel Census Area, Alaska",31.1
2,"Kusilvak Census Area, Alaska",25.3
3,"Nome Census Area, Alaska",24.5
4,"Northwest Arctic Borough, Alaska",20.0
5,"Denali Borough, Alaska",18.1
6,"Lake and Peninsula Borough, Alaska",13.8
7,"Apache County, Arizona",12.8
8,"Dillingham Census Area, Alaska",12.0
9,"Southeast Fairbanks Census Area, Alaska",11.1
10,"North Slope Borough, Alaska",10.8
11,"Haines Borough, Alaska",10.5
12,"Copper River Census Area, Alaska",10.1
13,"San Juan County, Utah",10.0
14,"Adams County, Indiana",9.7
15,"McKinley County, New Mexico",9.6
16,"Oglala Lakota County, South Dakota",9.2
17,"Hoonah-Angoon Census Area, Alaska",7.6
18,"Mora County, New Mexico",7.6
19,"Navajo County, Arizona",7.0
20,"Prince of Wales-Hyder Census Area, Alaska",6.7
21,"Lawrence County, Mississippi",6.2
22,"Catahoula Parish, Louisiana",6.1
23,"Hudspeth County, Texas",6.1
24,"Fairbanks North Star Borough, Alaska",5.6
25,"Salinas Municipio, Puerto Rico",5.1
26,"Yakutat City and Borough, Alaska",5.1
27,"Wolfe County, Kentucky",4.6
28,"Bristol Bay Borough, Alaska",4.4
29,"Santa Isabel Municipio, Puerto Rico",4.3
30,"Grant County, New Mexico",4.1
31,"Cibola County, New Mexico",4.1
32,"Vernon County, Wisconsin",4.1
33,"Guayanilla Municipio, Puerto Rico",4.0
34,"Worth County, Missouri",4.0
35,"Newton County, Texas",4.0
36,"Quitman County, Georgia",3.9
37,"Clark County, Idaho",3.9
38,"Wilbarger County, Texas",3.8
39,"Sheridan County, North Dakota",3.8
40,"Mono County, California",3.7
41,"Moca Municipio, Puerto Rico",3.5
42,"Peñuelas Municipio, Puerto Rico",3.4
43,"Foard County, Texas",3.4
44,"Costilla County, Colorado",3.3
45,"Coconino County, Arizona",3.3
46,"Aransas County, Texas",3.2
47,"Van Buren County, Tennessee",3.2
48,"Kenai Peninsula Borough, Alaska",3.2
49,"Wahkiakum County, Washington",3.2
50,"Atkinson County, Georgia",3.2
51,"Gurabo Municipio, Puerto Rico",3.2
52,"Webster County, Missouri",3.1
53,"Borden County, Texas",3.1
54,"Grant County, South Dakota",3.0
55,"Daggett County, Utah",3.0
56,"Maunabo Municipio, Puerto Rico",3.0
57,"Tensas Parish, Louisiana",3.0
58,"Newton County, Arkansas",3.0
59,"Gilmer County, West Virginia",3.0
60,"Big Horn County, Montana",2.9
61,"Pocahontas County, West Virginia",2.9
62,"Cook County, Minnesota",2.8
63,"Todd County, Minnesota",2.8
64,"East Carroll Parish, Louisiana",2.8
65,"Matanuska-Susitna Borough, Alaska",2.8
66,"Alamosa County, Colorado",2.8
67,"Richland County, Wisconsin",2.8
68,"Maricao Municipio, Puerto Rico",2.8
69,"Culebra Municipio, Puerto Rico",2.7
70,"Dixie County, Florida",2.7
71,"Saguache County, Colorado",2.7
72,"Noble County, Ohio",2.7
73,"Tillman County, Oklahoma",2.7
74,"Lake County, Tennessee",2.7
75,"Bent County, Colorado",2.7
76,"McMullen County, Texas",2.7
77,"Aleutians East Borough, Alaska",2.7
78,"Codington County, South Dakota",2.7
79,"Villalba Municipio, Puerto Rico",2.7
80,"Madison Parish, Louisiana",2.6
81,"Skagway Municipality, Alaska",2.6
82,"Trinity County, Texas",2.6
83,"Gentry County, Missouri",2.6
84,"Polk County, Tennessee",2.5
85,"Mercer County, Missouri",2.5
86,"Rio Arriba County, New Mexico",2.5
87,"Ferry County, Washington",2.5
88,"Van Buren County, Iowa",2.5
89,"Rappahannock County, Virginia",2.5
90,"Dolores County, Colorado",2.5
91,"Coamo Municipio, Puerto Rico",2.4
92,"Mountrail County, North Dakota",2.4
93,"Richland Parish, Louisiana",2.4
94,"Estill County, Kentucky",2.4
95,"Powell County, Kentucky",2.4
96,"Toa Baja Municipio, Puerto Rico",2.4
97,"Cataño Municipio, Puerto Rico",2.4
98,"San Miguel County, New Mexico",2.4
99,"Wirt County, West Virginia",2.4
100,"Las Marías Municipio, Puerto Rico",2.4
101,"Wayne County, Illinois",2.4
102,"Jefferson Davis County, Mississippi",2.4
103,"Noble County, Oklahoma",2.4
104,"Anderson County, Kansas",2.3
105,"Lee County, Kentucky",2.3
106,"Highland County, Virginia",2.3
107,"Glades County, Florida",2.3
108,"Aleutians West Census Area, Alaska",2.3
109,"Lyman County, South Dakota",2.3
110,"San Juan County, New Mexico",2.3
111,"Hooker County, Nebraska",2.3
112,"Menard County, Texas",2.3
113,"Patillas Municipio, Puerto Rico",2.2
114,"Todd County, South Dakota",2.2
115,"Hardin County, Illinois",2.2
116,"Middlesex County, Virginia",2.2
117,"Lexington city, Virginia",2.2
118,"Richland County, North Dakota",2.2
119,"Catron County, New Mexico",2.2
120,"Jim Wells County, Texas",2.1
121,"Dewey County, Oklahoma",2.1
122,"Jay County, Indiana",2.1
123,"Carbon County, Utah",2.1
124,"Howell County, Missouri",2.1
125,"Clark County, Wisconsin",2.1
126,"Page County, Virginia",2.1
127,"Decatur County, Iowa",2.1
128,"Hardin County, Ohio",2.1
129,"Issaquena County, Mississippi",2.1
130,"Buffalo County, South Dakota",2.1
131,"Calhoun County, Illinois",2.1
132,"Utuado Municipio, Puerto Rico",2.1
133,"Sioux County, North Dakota",2.1
134,"Nevada County, Arkansas",2.1
135,"Breathitt County, Kentucky",2.1
136,"Franklin Parish, Louisiana",2.1
137,"Atoka County, Oklahoma",2.1
138,"Hawaii County, Hawaii",2.0
139,"Wright County, Missouri",2.0
140,"Clearwater County, Minnesota",2.0
141,"Clinch County, Georgia",2.0
142,"Hampshire County, West Virginia",2.0
143,"Adjuntas Municipio, Puerto Rico",2.0
144,"Jackson County, Kentucky",2.0
145,"Perry County, Alabama",2.0
146,"San Francisco County, California",2.0
147,"Luquillo Municipio, Puerto Rico",2.0
148,"Cochran County, Texas",2.0
149,"Pend Oreille County, Washington",1.9
150,"Dorado Municipio, Puerto Rico",1.9
151,"Juana Díaz Municipio, Puerto Rico",1.9
152,"Larue County, Kentucky",1.9
153,"Haskell County, Oklahoma",1.9
154,"Stone County, Arkansas",1.9
155,"Mathews County, Virginia",1.9
156,"Morrow County, Ohio",1.9
157,"Ward County, Texas",1.9
158,"Sully County, South Dakota",1.9
159,"Cannon County, Tennessee",1.8
160,"Greene County, North Carolina",1.8
161,"Trinity County, California",1.8
162,"Hickory County, Missouri",1.8
163,"Eureka County, Nevada",1.8
164,"Monroe County, Wisconsin",1.8
165,"Barry County, Missouri",1.8
166,"Graham County, North Carolina",1.8
167,"Ozark County, Missouri",1.8
168,"Morovis Municipio, Puerto Rico",1.8
169,"Vernon County, Missouri",1.8
170,"Stutsman County, North Dakota",1.8
171,"Morrill County, Nebraska",1.8
172,"Twiggs County, Georgia",1.8
173,"Adair County, Oklahoma",1.8
174,"Adair County, Kentucky",1.8
175,"Tishomingo County, Mississippi",1.8
176,"Sheridan County, Wyoming",1.8
177,"San Germán Municipio, Puerto Rico",1.8
178,"Kane County, Utah",1.8
179,"Davis County, Iowa",1.8
180,"Lawrence County, Tennessee",1.8
181,"Washington County, Indiana",1.7
182,"Hutchinson County, South Dakota",1.7
183,"Patrick County, Virginia",1.7
184,"Pike County, Indiana",1.7
185,"Noxubee County, Mississippi",1.7
186,"San Juan County, Washington",1.7
187,"Humacao Municipio, Puerto Rico",1.7
188,"Loíza Municipio, Puerto Rico",1.7
189,"Jones County, Mississippi",1.7
190,"Vega Alta Municipio, Puerto Rico",1.7
191,"Clay County, Texas",1.7
192,"Leslie County, Kentucky",1.7
193,"Ballard County, Kentucky",1.7
194,"San Augustine County, Texas",1.7
195,"Gila County, Arizona",1.7
196,"Northampton County, North Carolina",1.7
197,"Lake County, Oregon",1.7
198,"Miami County, Indiana",1.7
199,"Perry County, Kentucky",1.7
200,"Rosebud County, Montana",1.6
201,"Cattaraugus County, New York",1.6
202,"Delaware County, Oklahoma",1.6
203,"Richland County, Montana",1.6
204,"Fillmore County, Minnesota",1.6
205,"Jefferson County, Pennsylvania",1.6
206,"Dade County, Georgia",1.6
207,"Aguadilla Municipio, Puerto Rico",1.6
208,"Clayton County, Iowa",1.6
209,"Wilcox County, Alabama",1.6
210,"Jeff Davis County, Texas",1.6
211,"Rice County, Kansas",1.6
212,"St. Lawrence County, New York",1.6
213,"Branch County, Michigan",1.6
214,"Gilpin County, Colorado",1.6
215,"Ritchie County, West Virginia",1.6
216,"Summers County, West Virginia",1.6
217,"Greeley County, Nebraska",1.6
218,"Toa Alta Municipio, Puerto Rico",1.6
219,"Fairfield County, South Carolina",1.6
220,"Bayfield County, Wisconsin",1.6
221,"Bayamón Municipio, Puerto Rico",1.6
222,"New Kent County, Virginia",1.6
223,"Boundary County, Idaho",1.6
224,"Clearwater County, Idaho",1.6
225,"Choctaw County, Alabama",1.6
226,"Mariposa County, California",1.6
227,"Crawford County, Michigan",1.6
228,"Bledsoe County, Tennessee",1.6
229,"Ashland County, Ohio",1.6
230,"Lewis County, Tennessee",1.5
231,"Irwin County, Georgia",1.5
232,"Garza County, Texas",1.5
233,"Lamb County, Texas",1.5
234,"Madison County, Texas",1.5
235,"Lafayette County, Florida",1.5
236,"Williamsburg County, South Carolina",1.5
237,"Live Oak County, Texas",1.5
238,"Newport News city, Virginia",1.5
239,"Throckmorton County, Texas",1.5
240,"Sanders County, Montana",1.5
241,"Mecklenburg County, Virginia",1.5
242,"Southampton County, Virginia",1.5
243,"Copiah County, Mississippi",1.5
244,"Scott County, Virginia",1.5
245,"Bastrop County, Texas",1.5
246,"Union County, Iowa",1.5
247,"Lemhi County, Idaho",1.5
248,"Ziebach County, South Dakota",1.5
249,"San Patricio County, Texas",1.5
250,"Taliaferro County, Georgia",1.5
251,"Gonzales County, Texas",1.5
252,"Washington County, Missouri",1.5
253,"Arecibo Municipio, Puerto Rico",1.5
254,"Guayama Municipio, Puerto Rico",1.5
255,"Inyo County, California",1.5
256,"Wheeler County, Nebraska",1.5
257,"Macon County, Missouri",1.5
258,"Crawford County, Wisconsin",1.5
259,"Forest County, Pennsylvania",1.5
260,"Blaine County, Montana",1.5
261,"Hickman County, Kentucky",1.5
262,"Talladega County, Alabama",1.5
263,"Kimball County, Nebraska",1.5
264,"San Lorenzo Municipio, Puerto Rico",1.5
265,"Appanoose County, Iowa",1.5
266,"Armstrong County, Pennsylvania",1.5
267,"Linn County, Missouri",1.5
268,"Breckinridge County, Kentucky",1.5
269,"Jefferson County, Indiana",1.5
270,"Stevens County, Washington",1.5
271,"Sitka City and Borough, Alaska",1.5
272,"Montgomery County, Kansas",1.5
273,"Grant County, Oklahoma",1.5
274,"Allen County, Kentucky",1.5
275,"Glenn County, California",1.4
276,"Jackson County, Wisconsin",1.4
277,"Mineral County, Nevada",1.4
278,"Aitkin County, Minnesota",1.4
279,"Halifax County, North Carolina",1.4
280,"Bourbon County, Kansas",1.4
281,"Wayne County, Tennessee",1.4
282,"Red River County, Texas",1.4
283,"Ohio County, Indiana",1.4
284,"Craig County, Oklahoma",1.4
285,"Mackinac County, Michigan",1.4
286,"Pike County, Missouri",1.4
287,"Millard County, Utah",1.4
288,"St. Clair County, Missouri",1.4
289,"Martin County, Indiana",1.4
290,"Terrell County, Texas",1.4
291,"Owen County, Indiana",1.4
292,"Canóvanas Municipio, Puerto Rico",1.4
293,"Grundy County, Tennessee",1.4
294,"Seminole County, Oklahoma",1.4
295,"Hidalgo County, New Mexico",1.4
296,"Orange County, Indiana",1.4
297,"De Baca County, New Mexico",1.4
298,"Young County, Texas",1.4
299,"Morris County, Texas",1.4
300,"Union County, Oregon",1.4
301,"Jayuya Municipio, Puerto Rico",1.4
302,"Hettinger County, North Dakota",1.4
303,"Conejos County, Colorado",1.4
304,"Socorro County, New Mexico",1.4
305,"Tehama County, California",1.4
306,"Sabana Grande Municipio, Puerto Rico",1.4
307,"Río Grande Municipio, Puerto Rico",1.4
308,"Jones County, Texas",1.4
309,"Comanche County, Texas",1.4
310,"Orocovis Municipio, Puerto Rico",1.4
311,"Furnas County, Nebraska",1.4
312,"Roseau County, Minnesota",1.4
313,"Wood County, Texas",1.4
314,"Florida Municipio, Puerto Rico",1.4
315,"Valley County, Idaho",1.4
316,"Fall River County, South Dakota",1.4
317,"Stanley County, South Dakota",1.4
318,"Adams County, North Dakota",1.3
319,"Falls County, Texas",1.3
320,"Torrance County, New Mexico",1.3
321,"Baylor County, Texas",1.3
322,"Calhoun County, Texas",1.3
323,"Aibonito Municipio, Puerto Rico",1.3
324,"Irion County, Texas",1.3
325,"San Sebastián Municipio, Puerto Rico",1.3
326,"Yabucoa Municipio, Puerto Rico",1.3
327,"Talbot County, Georgia",1.3
328,"Cabo Rojo Municipio, Puerto Rico",1.3
329,"Adams County, Iowa",1.3
330,"Bell County, Kentucky",1.3
331,"Lynn County, Texas",1.3
332,"Graham County, Arizona",1.3
333,"Comerío Municipio, Puerto Rico",1.3
334,"Sutton County, Texas",1.3
335,"Warren County, Tennessee",1.3
336,"Garfield County, Nebraska",1.3
337,"Oglethorpe County, Georgia",1.3
338,"Ponce Municipio, Puerto Rico",1.3
339,"Slope County, North Dakota",1.3
340,"Hatillo Municipio, Puerto Rico",1.3
341,"Schley County, Georgia",1.3
342,"Carolina Municipio, Puerto Rico",1.3
343,"Las Piedras Municipio, Puerto Rico",1.3
344,"Hillsdale County, Michigan",1.3
345,"Lajas Municipio, Puerto Rico",1.3
346,"Gladwin County, Michigan",1.3
347,"Cayuga County, New York",1.3
348,"Jackson County, Arkansas",1.3
349,"Benewah County, Idaho",1.3
350,"Bennington County, Vermont",1.3
351,"Crawford County, Pennsylvania",1.3
352,"McDonald County, Missouri",1.3
353,"Jefferson County, Idaho",1.3
354,"Langlade County, Wisconsin",1.3
355,"Attala County, Mississippi",1.3
356,"Logan County, West Virginia",1.3
357,"Lincoln County, West Virginia",1.3
358,"Oscoda County, Michigan",1.3
359,"Adams County, Washington",1.3
360,"Owsley County, Kentucky",1.3
361,"Pushmataha County, Oklahoma",1.3
362,"Taylor County, Wisconsin",1.3
363,"Columbia County, Washington",1.3
364,"Murray County, Oklahoma",1.3
365,"Livingston County, Missouri",1.3
366,"Montgomery County, Arkansas",1.3
367,"Clay County, West Virginia",1.3
368,"Edgefield County, South Carolina",1.3
369,"Emery County, Utah",1.3
370,"Johnston County, Oklahoma",1.3
371,"Howard County, Iowa",1.3
372,"Jefferson County, Washington",1.3
373,"Potter County, Pennsylvania",1.2
374,"Randolph County, Alabama",1.2
375,"Merrick County, Nebraska",1.2
376,"Caldwell County, Missouri",1.2
377,"West Carroll Parish, Louisiana",1.2
378,"Oxford County, Maine",1.2
379,"Washington County, Maine",1.2
380,"Snyder County, Pennsylvania",1.2
381,"Indiana County, Pennsylvania",1.2
382,"Jefferson County, Montana",1.2
383,"Piscataquis County, Maine",1.2
384,"Vega Baja Municipio, Puerto Rico",1.2
385,"Grimes County, Texas",1.2
386,"Houston County, Minnesota",1.2
387,"Lawrence County, Kentucky",1.2
388,"Marshall County, West Virginia",1.2
389,"Juncos Municipio, Puerto Rico",1.2
390,"Deaf Smith County, Texas",1.2
391,"Dewey County, South Dakota",1.2
392,"Delta County, Colorado",1.2
393,"Itasca County, Minnesota",1.2
394,"Montgomery County, Mississippi",1.2
395,"De Soto Parish, Louisiana",1.2
396,"Donley County, Texas",1.2
397,"Pine County, Minnesota",1.2
398,"Morehouse Parish, Louisiana",1.2
399,"Morgan County, Tennessee",1.2
400,"San Juan County, Colorado",1.2
401,"Nye County, Nevada",1.2
402,"Terrebonne Parish, Louisiana",1.2
403,"Reynolds County, Missouri",1.2
404,"Hot Spring County, Arkansas",1.2
405,"Willacy County, Texas",1.2
406,"Worth County, Iowa",1.2
407,"Lucas County, Iowa",1.2
408,"Yalobusha County, Mississippi",1.2
409,"Trimble County, Kentucky",1.2
410,"Washington County, North Carolina",1.2
411,"Robertson County, Kentucky",1.2
412,"Allen County, Kansas",1.2
413,"Searcy County, Arkansas",1.2
414,"Sharp County, Arkansas",1.2
415,"Van Buren County, Arkansas",1.2
416,"Santa Cruz County, Arizona",1.2
417,"Sabine Parish, Louisiana",1.2
418,"Wrangell City and Borough, Alaska",1.2
419,"Jefferson County, Oregon",1.2
420,"Ciales Municipio, Puerto Rico",1.2
421,"Lincoln County, Washington",1.2
422,"Archer County, Texas",1.2
423,"Harrison County, Kentucky",1.1
424,"Randolph County, Georgia",1.1
425,"Garfield County, Oklahoma",1.1
426,"Bath County, Kentucky",1.1
427,"Rockdale County, Georgia",1.1
428,"Henry County, Iowa",1.1
429,"Monroe County, Georgia",1.1
430,"Bryan County, Oklahoma",1.1
431,"Aurora County, South Dakota",1.1
432,"Saline County, Illinois",1.1
433,"Crawford County, Indiana",1.1
434,"Casey County, Kentucky",1.1
435,"Putnam County, Georgia",1.1
436,"Colorado County, Texas",1.1
437,"Clark County, Missouri",1.1
438,"Carlisle County, Kentucky",1.1
439,"Dent County, Missouri",1.1
440,"Flathead County, Montana",1.1
441,"Knox County, Missouri",1.1
442,"Claiborne County, Tennessee",1.1
443,"Fallon County, Montana",1.1
444,"Yauco Municipio, Puerto Rico",1.1
445,"Norman County, Minnesota",1.1
446,"Yuma County, Colorado",1.1
447,"Boone County, Arkansas",1.1
448,"Kinney County, Texas",1.1
449,"Kanabec County, Minnesota",1.1
450,"Arroyo Municipio, Puerto Rico",1.1
451,"Lamoille County, Vermont",1.1
452,"Haskell County, Kansas",1.1
453,"Webster County, West Virginia",1.1
454,"Elk County, Kansas",1.1
455,"Somerset County, Maryland",1.1
456,"St. Francis County, Arkansas",1.1
457,"Rains County, Texas",1.1
458,"Val Verde County, Texas",1.1
459,"Polk County, Arkansas",1.1
460,"Refugio County, Texas",1.1
461,"Rusk County, Wisconsin",1.1
462,"Scurry County, Texas",1.1
463,"Ouachita County, Arkansas",1.1
464,"Braxton County, West Virginia",1.1
465,"Clarke County, Mississippi",1.1
466,"Hidalgo County, Texas",1.1
467,"Mayagüez Municipio, Puerto Rico",1.1
468,"Wheatland County, Montana",1.1
469,"Isabela Municipio, Puerto Rico",1.1
470,"Chugach Census Area, Alaska",1.1
471,"Boyd County, Nebraska",1.1
472,"Clark County, Kansas",1.1
473,"Montezuma County, Colorado",1.1
474,"Red Lake County, Minnesota",1.0
475,"Franklin County, Kansas",1.0
476,"Madison County, Missouri",1.0
477,"Baker County, Oregon",1.0
478,"Wabash County, Illinois",1.0
479,"Webb County, Texas",1.0
480,"McCone County, Montana",1.0
481,"Chesterfield County, South Carolina",1.0
482,"Dubuque County, Iowa",1.0
483,"Hendry County, Florida",1.0
484,"Smith County, Tennessee",1.0
485,"Powell County, Montana",1.0
486,"Martin County, Kentucky",1.0
487,"Brown County, South Dakota",1.0
488,"Granite County, Montana",1.0
489,"Norton city, Virginia",1.0
490,"Uvalde County, Texas",1.0
491,"Covington County, Mississippi",1.0
492,"McPherson County, South Dakota",1.0
493,"Harlan County, Kentucky",1.0
494,"Montour County, Pennsylvania",1.0
495,"Idaho County, Idaho",1.0
496,"Grundy County, Missouri",1.0
497,"Carroll County, New Hampshire",1.0
498,"Bath County, Virginia",1.0
499,"Owen County, Kentucky",1.0
500,"Koochiching County, Minnesota",1.0
501,"Cocke County, Tennessee",1.0
502,"Coffee County, Tennessee",1.0
503,"Crowley County, Colorado",1.0
504,"Custer County, Colorado",1.0
505,"Calhoun County, South Carolina",1.0
506,"Washburn County, Wisconsin",1.0
507,"Knott County, Kentucky",1.0
508,"Grafton County, New Hampshire",1.0
509,"Hubbard County, Minnesota",1.0
510,"McDonough County, Illinois",1.0
511,"Newberry County, South Carolina",1.0
512,"Hawkins County, Tennessee",1.0
513,"Cass County, Minnesota",1.0
514,"Lewis County, Missouri",1.0
515,"Kay County, Oklahoma",1.0
516,"Franklin County, Maine",1.0
517,"Madison County, Arkansas",1.0
518,"Corozal Municipio, Puerto Rico",1.0
519,"Wayne County, Ohio",1.0
520,"Vermillion County, Indiana",1.0
521,"Neshoba County, Mississippi",1.0
522,"Hormigueros Municipio, Puerto Rico",1.0
523,"Guaynabo Municipio, Puerto Rico",1.0
524,"Stark County, North Dakota",1.0
525,"Claiborne Parish, Louisiana",1.0
526,"Morgan County, Ohio",1.0
527,"Monroe County, Ohio",1.0
528,"Kemper County, Mississippi",1.0
529,"Fremont County, Wyoming",1.0
530,"Marion County, Alabama",1.0
531,"Cherokee County, Iowa",1.0
532,"Barranquitas Municipio, Puerto Rico",1.0
533,"Kerr County, Texas",1.0
534,"Caguas Municipio, Puerto Rico",1.0
535,"Baxter County, Arkansas",1.0
536,"Leake County, Mississippi",1.0
537,"Taney County, Missouri",1.0
538,"Iberia Parish, Louisiana",1.0
539,"Alger County, Michigan",1.0
540,"Allegany County, New York",1.0
541,"Burleson County, Texas",1.0
542,"Newton County, Mississippi",1.0
543,"Buchanan County, Iowa",1.0
544,"Niobrara County, Wyoming",1.0
545,"Woodson County, Kansas",1.0
546,"Washington County, Florida",1.0
547,"Screven County, Georgia",1.0
548,"Brooks County, Texas",1.0
549,"Itawamba County, Mississippi",1.0
550,"Whitley County, Kentucky",1.0
551,"Frio County, Texas",1.0
552,"Roberts County, Texas",1.0
553,"Cumberland County, Kentucky",1.0
554,"Fulton County, Arkansas",1.0
555,"McKenzie County, North Dakota",1.0
556,"Manatí Municipio, Puerto Rico",1.0
557,"Faulkner County, Arkansas",1.0
558,"Lee County, Arkansas",1.0
559,"Kiowa County, Colorado",0.9
560,"Waldo County, Maine",0.9
561,"Henry County, Missouri",0.9
562,"Logan County, North Dakota",0.9
563,"Custer County, South Dakota",0.9
564,"Allamakee County, Iowa",0.9
565,"Clarke County, Alabama",0.9
566,"Clinton County, Missouri",0.9
567,"Glacier County, Montana",0.9
568,"San Juan Municipio, Puerto Rico",0.9
569,"Bennett County, South Dakota",0.9
570,"Douglas County, Missouri",0.9
571,"Clay County, Nebraska",0.9
572,"Marshall County, Minnesota",0.9
573,"Guernsey County, Ohio",0.9
574,"Logan County, Ohio",0.9
575,"Yuba County, California",0.9
576,"White Pine County, Nevada",0.9
577,"Valley County, Nebraska",0.9
578,"Sauk County, Wisconsin",0.9
579,"Okfuskee County, Oklahoma",0.9
580,"Sioux County, Nebraska",0.9
581,"Independence County, Arkansas",0.9
582,"Park County, Wyoming",0.9
583,"Ontonagon County, Michigan",0.9
584,"Monroe County, Missouri",0.9
585,"Hempstead County, Arkansas",0.9
586,"Josephine County, Oregon",0.9
587,"Aguada Municipio, Puerto Rico",0.9
588,"Columbia County, Wisconsin",0.9
589,"Vinton County, Ohio",0.9
590,"Mahnomen County, Minnesota",0.9
591,"Mendocino County, California",0.9
592,"Cross County, Arkansas",0.9
593,"Laclede County, Missouri",0.9
594,"Lawrence County, Indiana",0.9
595,"Fulton County, Pennsylvania",0.9
596,"Wyandotte County, Kansas",0.9
597,"Knox County, Kentucky",0.9
598,"Mifflin County, Pennsylvania",0.9
599,"Lake County, Minnesota",0.9
600,"Warren County, Pennsylvania",0.9
601,"Jefferson County, Illinois",0.9
602,"Ceiba Municipio, Puerto Rico",0.9
603,"Morgan County, Missouri",0.9
604,"Taos County, New Mexico",0.9
605,"Pulaski County, Kentucky",0.9
606,"Jack County, Texas",0.9
607,"Jasper County, Texas",0.9
608,"Augusta County, Virginia",0.9
609,"Bradford County, Florida",0.9
610,"Accomack County, Virginia",0.9
611,"Decatur County, Tennessee",0.9
612,"Adair County, Missouri",0.9
613,"Orange County, Vermont",0.9
614,"Marion County, Mississippi",0.9
615,"Rockcastle County, Kentucky",0.9
616,"Lowndes County, Georgia",0.9
617,"Kleberg County, Texas",0.9
618,"Chambers County, Texas",0.9
619,"Cass County, Texas",0.9
620,"Avoyelles Parish, Louisiana",0.9
621,"Jackson County, Tennessee",0.9
622,"Sanpete County, Utah",0.9
623,"Sandoval County, New Mexico",0.9
624,"Warren County, Mississippi",0.9
625,"Lincoln County, Tennessee",0.9
626,"Burke County, Georgia",0.9
627,"Lincoln County, Montana",0.9
628,"Brewster County, Texas",0.9
629,"Otero County, New Mexico",0.9
630,"Simpson County, Mississippi",0.9
631,"Runnels County, Texas",0.9
632,"Pointe Coupee Parish, Louisiana",0.9
633,"Holmes County, Mississippi",0.9
634,"Unicoi County, Tennessee",0.9
635,"Tipton County, Tennessee",0.9
636,"Charlotte County, Virginia",0.9
637,"Smith County, Mississippi",0.9
638,"Hood County, Texas",0.9
639,"Gaines County, Texas",0.9
640,"East Feliciana Parish, Louisiana",0.9
641,"Boone County, Illinois",0.9
642,"San Miguel County, Colorado",0.9
643,"Eastland County, Texas",0.9
644,"Lewis County, Idaho",0.9
645,"Evangeline Parish, Louisiana",0.9
646,"Steuben County, New York",0.9
647,"Berrien County, Georgia",0.8
648,"Platte County, Wyoming",0.8
649,"Clay County, Alabama",0.8
650,"Transylvania County, North Carolina",0.8
651,"Barren County, Kentucky",0.8
652,"Cherokee County, Oklahoma",0.8
653,"Orange County, Texas",0.8
654,"Mitchell County, Iowa",0.8
655,"Nacogdoches County, Texas",0.8
656,"La Paz County, Arizona",0.8
657,"Johnson County, Wyoming",0.8
658,"Johnson County, Arkansas",0.8
659,"Hardin County, Texas",0.8
660,"Washington County, Kentucky",0.8
661,"Stanton County, Nebraska",0.8
662,"Guadalupe County, New Mexico",0.8
663,"Hughes County, Oklahoma",0.8
664,"Marion County, Arkansas",0.8
665,"Swisher County, Texas",0.8
666,"Gilmer County, Georgia",0.8
667,"Latimer County, Oklahoma",0.8
668,"Pettis County, Missouri",0.8
669,"Randolph County, North Carolina",0.8
670,"McIntosh County, Oklahoma",0.8
671,"Taylor County, Georgia",0.8
672,"Lincoln County, Kansas",0.8
673,"Clare County, Michigan",0.8
674,"Hockley County, Texas",0.8
675,"Greene County, Alabama",0.8
676,"Camuy Municipio, Puerto Rico",0.8
677,"Texas County, Missouri",0.8
678,"Posey County, Indiana",0.8
679,"Bronx County, New York",0.8
680,"Petersburg Borough, Alaska",0.8
681,"Dickens County, Texas",0.8
682,"Anchorage Municipality, Alaska",0.8
683,"Crane County, Texas",0.8
684,"Adams County, Ohio",0.8
685,"Winston County, Alabama",0.8
686,"Caldwell Parish, Louisiana",0.8
687,"Miami County, Kansas",0.8
688,"Houston County, Texas",0.8
689,"Caddo Parish, Louisiana",0.8
690,"Missaukee County, Michigan",0.8
691,"LaSalle Parish, Louisiana",0.8
692,"Carroll County, Arkansas",0.8
693,"Colquitt County, Georgia",0.8
694,"Coleman County, Texas",0.8
695,"Guánica Municipio, Puerto Rico",0.8
696,"Hart County, Georgia",0.8
697,"Añasco Municipio, Puerto Rico",0.8
698,"Duval County, Texas",0.8
699,"Rolette County, North Dakota",0.8
700,"Crawford County, Arkansas",0.8
701,"Emmons County, North Dakota",0.8
702,"Assumption Parish, Louisiana",0.8
703,"Clay County, Kentucky",0.8
704,"Lares Municipio, Puerto Rico",0.8
705,"Radford city, Virginia",0.8
706,"Grant County, North Dakota",0.8
707,"Okmulgee County, Oklahoma",0.8
708,"Morgan County, West Virginia",0.8
709,"Goochland County, Virginia",0.8
710,"Barber County, Kansas",0.8
711,"Caribou County, Idaho",0.8
712,"Dickinson County, Kansas",0.8
713,"Hardy County, West Virginia",0.8
714,"Bonner County, Idaho",0.8
715,"St. Martin Parish, Louisiana",0.8
716,"Lawrence County, Pennsylvania",0.8
717,"Nicholas County, Kentucky",0.8
718,"Ohio County, West Virginia",0.8
719,"Belknap County, New Hampshire",0.8
720,"Caledonia County, Vermont",0.8
721,"Lincoln County, Colorado",0.8
722,"Douglas County, Minnesota",0.8
723,"Judith Basin County, Montana",0.8
724,"Clearfield County, Pennsylvania",0.8
725,"Washington County, Colorado",0.8
726,"Winona County, Minnesota",0.8
